cabang,induk
920,445
921,509
922,430
923,430
924,382
925,430
926,382
927,419
928,386
929,419
930,386
931,442
932,442
933,340
934,433
935,139
936,139
937,139
938,444
939,340
940,186
941,386
942,186
943,186
944,386
945,339
946,538
947,339
948,339
949,442
951,538
952,379
953,339
954,395
955,433
956,395
957,395
958,379
959,379
962,379
963,379
964,356
965,386
966,356
967,386
968,340
969,433
970,17
971,17
972,17
973,411
974,412
975,584
976,412
977,584
978,325
979,83
980,325
981,83
982,325
983,410
984,556
985,17
986,245
987,410
988,407
989,408
990,354
991,337
992,408
993,421
994,382
995,442
996,379
997,419
998,382
1001,59
1006,609
1007,435
1008,29
1050,360
1051,394
1052,37
1053,243
1054,237
1055,29
1056,29
1057,227
1058,325
1059,281
1060,242
1061,14
1062,52
1063,1063
1064,97
1065,97
1066,93
1067,556
1068,556
1069,42
1070,137
1071,137
1072,130
1073,642
1074,343
1075,76
1076,363
1077,286
1078,406
1079,1079
1080,1080
1081,1081
1082,1082
1083,336
1084,336
1085,367
1086,367
1087,336
1088,404
1089,266
1090,266
1091,336
1092,633
1093,638
1094,323
1095,99
1096,99
1097,1097
1098,170
1099,1099
1100,164
1101,318
1102,128
1103,342
1104,342
1105,139
1106,392
1107,407
1108,46
1109,609
1110,609
1111,29
1112,273
1113,214
1114,103
1115,441
1116,362
1117,122
1118,395
1119,18
1120,417
1121,230
1122,399
1123,335
1124,122
1125,335
1127,1127
1128,387
1129,120
1130,193
1131,319
1132,120
1133,447
1134,421
1136,630
1137,211
1138,435
1139,132
1140,132
1141,389
1142,630
1143,509
1144,1144
1145,1145
1146,362
1147,538
1148,335
1149,387
1150,423
1151,421
1152,384
1153,424
1154,238
1155,96
1156,1156
1157,584
1158,1156
1159,86
1160,86
1161,21
1162,304
1163,538
1164,188
1165,319
1166,84
1167,193
1168,89
1169,385
1170,384
1171,19
1172,19
1173,382
1174,344
1175,51
1176,416
1177,396
1178,322
1179,345
1180,387
1181,302
1182,341
1183,261
1184,437
1185,509
1186,319
1187,419
1188,441
1189,387
1190,189
1191,440
1192,386
1193,186
1194,376
1195,376
1196,346
1197,587
1198,584
1199,26
1200,346
1201,230
1202,19
1203,433
1204,338
1205,441
1206,122
1207,386
1208,230
1209,122
1210,395
1211,193
1212,415
1213,230
1214,122
1215,329
1216,386
1218,18
1219,385
1220,193
1221,422
1222,341
1223,1223
1224,12
1225,384
1226,120
1228,328
1229,344
1230,51
1231,337
1233,328
1234,509
1235,230
1236,509
1237,339
1238,385
1239,332
1240,329
1241,335
1242,329
1243,329
1244,338
1245,329
1246,329
1247,429
1248,211
1249,302
1250,424
1251,193
1252,230
1253,193
1254,335
1255,376
1256,122
1257,261
1258,51
1259,344
1260,344
1261,280
1262,330
1263,376
1264,319
1265,120
1266,438
1267,122
1268,341
1269,58
1270,325
1271,609
1272,122
1273,19
1274,376
1275,328
1276,328
1277,71
1278,71
1279,10
1280,38
1290,358
1291,60
1292,78
1293,102
1294,77
1295,35
1296,97
1297,97
1298,97
1299,97
1300,183
1301,5
1302,337
1303,46
1304,59
1305,43
1306,35
1307,234
1308,42
1309,42
1310,325
1311,37
1312,37
1313,156
1314,38
1315,10
1316,354
1317,107
1318,107
1319,623
1320,173
1321,354
1322,107
1323,107
1324,107
1325,156
1326,106
1327,245
1328,367
1329,367
1330,336
1331,336
1332,336
1333,404
1335,100
1336,100
1337,100
1338,53
1339,53
1340,53
1341,53
1342,53
1343,367
1344,331
1345,25
1346,25
1347,286
1348,92
1349,92
1350,94
1351,94
1352,75
1353,5
1354,354
1355,181
1356,405
1357,5
1359,325
1360,609
1361,190
1362,14
1363,81
1364,68
1365,68
1366,327
1367,215
1368,101
1369,325
1370,142
1371,325
1372,325
1373,661
1374,68
1375,325
1377,77
1378,97
1379,112
1380,29
1381,29
1382,29
1383,29
1384,245
1385,245
1386,18
1387,19
1388,386
1389,386
1390,332
1391,434
1392,361
1393,329
1394,18
1395,385
1396,415
1397,335
1398,18
1399,341
1400,426
1401,390
1402,426
1403,442
1404,397
1405,442
1406,385
1407,538
1408,424
1409,385
1410,443
1411,84
1412,84
1413,390
1414,193
1415,193
1418,384
1419,387
1420,426
1421,330
1422,330
1423,193
1424,193
1425,443
1426,445
1427,390
1428,443
1429,354
1430,123
1431,407
1432,389
1433,389
1434,5
1435,407
1436,50
1437,100
1438,97
1439,399
1440,97
1441,319
1442,393
1443,86
1444,329
1445,384
1446,359
1447,325
1448,261
1449,360
1450,337
1451,435
1452,325
1453,609
1454,211
1455,329
1456,376
1457,54
1458,237
1459,27
1460,15
1461,560
1462,170
1463,59
1464,435
1465,215
1466,609
1467,51
1468,51
1469,387
1470,426
1471,8
1472,318
1473,53
1474,54
1475,186
1476,224
1477,384
1478,66
1479,434
1480,186
1481,368
1482,416
1483,319
1484,319
1485,362
1486,359
1487,179
1488,142
1489,29
1490,178
1491,282
1492,122
1493,361
1494,122
1495,71
1496,188
1497,33
1498,276
1499,115
1500,59
1502,333
1503,335
1504,122
1506,443
1507,341
1510,341
1511,382
1512,417
1513,642
1514,219
1515,331
1516,331
1517,58
1518,58
1519,58
1521,106
1522,29
1523,609
1524,406
1525,630
1527,15
1528,609
1529,325
1531,29
1532,245
1533,48
